price,bed,bath,acre_lot,street,city,state,zip_code,house_size
260000.0,3.0,2.0,0.2,1645160.0,Cabo Rojo,Puerto Rico,622.0,2214.0
460000.0,4.0,2.0,0.22,1450082.0,Cabo Rojo,Puerto Rico,622.0,3328.0
63000.0,4.0,2.0,0.48,1888053.0,Hormigueros,Puerto Rico,660.0,1233.0
75000.0,3.0,2.0,0.12,1819530.0,Mayaguez,Puerto Rico,680.0,1200.0
325000.0,5.0,5.0,0.19,1879192.0,Cabo Rojo,Puerto Rico,623.0,4000.0
101800.0,3.0,2.0,0.07,1879216.0,Cabo Rojo,Puerto Rico,623.0,1000.0
25000.0,1.0,1.0,0.12,962678.0,Cabo Rojo,Puerto Rico,623.0,491.0
205000.0,3.0,3.0,0.27,1002452.0,Guanica,Puerto Rico,653.0,976.0
135000.0,4.0,2.0,0.12,198778.0,Hormigueros,Puerto Rico,660.0,1163.0
104000.0,3.0,2.0,0.08,1311508.0,Mayaguez,Puerto Rico,682.0,1175.0
275000.0,3.0,2.0,0.97,1902773.0,Lajas,Puerto Rico,667.0,1200.0
100000.0,3.0,2.0,0.12,1193340.0,Cabo Rojo,Puerto Rico,623.0,1044.0
75000.0,3.0,1.0,0.03,1104886.0,Cabo Rojo,Puerto Rico,623.0,980.0
122000.0,4.0,2.0,0.19,521774.0,Cabo Rojo,Puerto Rico,623.0,1400.0
150000.0,3.0,1.0,0.16,1837366.0,Cabo Rojo,Puerto Rico,623.0,936.0
325000.0,3.0,4.0,0.23,1917857.0,Cabo Rojo,Puerto Rico,623.0,3089.0
130000.0,3.0,4.0,0.09,560375.0,Cabo Rojo,Puerto Rico,623.0,2064.0
139900.0,2.0,2.0,0.46,34931.0,Cabo Rojo,Puerto Rico,623.0,1242.0
395000.0,8.0,5.0,0.48,58866.0,Cabo Rojo,Puerto Rico,623.0,8368.0
375000.0,5.0,4.0,0.22,387597.0,Cabo Rojo,Puerto Rico,623.0,2700.0
2500000.0,6.0,8.0,9.65,1856949.0,Cabo Rojo,Puerto Rico,623.0,10244.0
385000.0,3.0,3.0,0.26,1855340.0,Cabo Rojo,Puerto Rico,623.0,2069.0
600000.0,8.0,7.0,0.43,1842699.0,Cabo Rojo,Puerto Rico,623.0,3192.0
195000.0,2.0,2.0,0.37,6938.0,Cabo Rojo,Puerto Rico,623.0,1377.0
1995000.0,5.0,6.0,5.0,1946165.0,Cabo Rojo,Puerto Rico,623.0,10000.0
220000.0,1.0,1.0,0.37,1940313.0,Cabo Rojo,Puerto Rico,623.0,736.0
3000000.0,6.0,6.0,7.8,1906150.0,Cabo Rojo,Puerto Rico,623.0,8000.0
70000.0,3.0,1.0,0.04,1884194.0,Penuelas,Puerto Rico,624.0,913.0
799000.0,5.0,3.0,0.49,1837520.0,Penuelas,Puerto Rico,624.0,2500.0
74500.0,3.0,1.0,0.08,1899174.0,Penuelas,Puerto Rico,624.0,917.0
70000.0,3.0,2.0,0.09,795443.0,San Sebastian,Puerto Rico,685.0,1120.0
85000.0,3.0,2.0,0.08,1868706.0,Ponce,Puerto Rico,728.0,1500.0
